sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.2,0.75,-1.5,0.9576926156878471,0.008793916026304303,0.8501186296343803,0.008643785518569539,0.7148662880063057,0.008113674874059201
0.001,1.0,0.25,0.2,0.8,-1.5,0.965332604944706,0.013556619576990933,0.8472388461232185,0.005094821795102381,0.7113799303770065,0.01385074411068624
0.001,1.0,0.25,0.2,0.85,-1.5,0.9552416279911995,0.010634162491036164,0.8429838865995407,0.012708327149734473,0.7246099412441254,0.01290714025212215
0.001,1.0,0.25,0.2,0.9,-1.5,0.9619454443454742,0.012274840809032773,0.8394662737846375,0.01461986840365103,0.7214397639036179,0.012603749476245181
0.001,1.0,0.25,0.2,0.95,-1.5,0.9527818486094475,0.010114583414061457,0.8361288607120514,0.011307064083219189,0.7104832157492638,0.012657591599511304
0.001,1.0,0.25,0.2,1.0,-1.5,0.9565823748707771,0.008303475256446596,0.8376700356602669,0.013996622533465852,0.7092188373208046,0.019538669702044903
0.001,1.0,0.25,0.25,0.6,-2.5,0.9490651339292526,0.005227491894128635,0.8288662061095238,0.008736604024376017,0.7019034400582314,0.009986988361466219
0.001,1.0,0.25,0.25,0.65,-2.5,0.9480798915028572,0.015175454024054251,0.8191367760300636,0.013859343705532193,0.6898174211382866,0.01785445920819036
0.001,1.0,0.25,0.25,0.7,-2.5,0.9415342509746552,0.014075468533815281,0.820714995265007,0.01411438009461759,0.6901795342564583,0.015387449124793812
0.001,1.0,0.25,0.25,0.6,-2.0,0.9560131728649139,0.013017649726136237,0.8312912657856941,0.0076716483634158405,0.7098419368267059,0.01444590953162884
0.001,1.0,0.25,0.25,0.65,-2.0,0.9523526802659035,0.013143526646567196,0.8395838290452957,0.011254828171713499,0.7187821492552757,0.010089660930831733
0.001,1.0,0.25,0.25,0.7,-2.0,0.945394441485405,0.01240049078029948,0.8311544507741928,0.008509770609604912,0.710296556353569,0.011700560762832879
0.001,1.0,0.25,0.25,0.75,-2.0,0.9547301754355431,0.012530670308212512,0.8336354717612267,0.009089379438960698,0.7027364075183868,0.016695539198362638
0.001,1.0,0.25,0.25,0.8,-2.0,0.9561078399419785,0.014053063703351564,0.8285810500383377,0.013958521434306531,0.7076709046959877,0.01296488946435007
0.001,1.0,0.25,0.3,0.6,-2.0,0.9487798511981964,0.014178659462104233,0.8351518660783768,0.014685558875063304,0.7147651091217995,0.013474199794667383
0.001,1.0,0.25,0.3,0.65,-2.0,0.9433509856462479,0.013628463578254434,0.842206746339798,0.010034865547055549,0.7174275666475296,0.015243531121257694
0.001,1.0,0.25,0.5,0.6,-4.0,0.928913839161396,0.017407145069422543,0.7493976652622223,0.01930694214774852,0.6128698959946632,0.02644855066451175
0.001,1.0,0.25,0.5,0.65,-4.0,0.9208958148956299,0.025473180406680486,0.7528789713978767,0.02205646609760828,0.5867618322372437,0.04147189377877565
